"name","href","系统","剧情","人设","画面","音乐","声优","游戏性","工口","鬼畜","总体评分","对白"
"《120日元之冬》","https://bangumi.tv/blog/296760","C-","B","B-","B","A+","B-","E+","E","E","67",
"《晓之护卫：主角们的休息日》","https://bangumi.tv/blog/269578","B","B+","B","A-","A-","B+","D-","C+","A","76",
"《凉宫春日的逆转》","https://bangumi.tv/blog/306705","D-","D+","B","C+","B-","D-","C+","E","E","54",
"《BALDR HEART》","https://bangumi.tv/blog/296848","S","B+","B+","B+","A","A-","S-","B-","D+","98",
"《幽灵诡计》","https://bangumi.tv/blog/275115","B+","S-","A","B","A","E+","A","E+","D-","100",
"《I/O revision II》","https://bangumi.tv/blog/306532","A-","A-","B","C","A-","A-","C-","E","C+","81",
"《魔法天使拉比》","https://bangumi.tv/blog/296692","E+","D+","C+","B-","C","C+","C","E+","E","51",
"《猫咪天堂》","https://bangumi.tv/blog/296978","C-","E","C-","B-","C-","D+","E+","A-","C+","34",
"《秘密游戏：杀手皇后》","https://bangumi.tv/blog/269580","B","B","B","B-","A","B","E+","D","C-","70",
"《命运石之门0》","https://bangumi.tv/blog/296112","A","A-","A-","B","A","A+","C-","E","E","86",
"《花与少女的祝福》","https://bangumi.tv/blog/269581","B","B-","B+","B","C+","B-","D","B-","C-","68",
"《黑暗圣经》","https://bangumi.tv/blog/275145","C","B-","B","B","A-","B-","D+","A-","A+","69",
"《缸底》","https://bangumi.tv/blog/306039","D","C-","C-","D","C-","E","E","D-","C","40",
"《异想魅惑》","https://bangumi.tv/blog/296093","A-","B+","B+","A","A-","B+","C","B","C-","84",
"《夏之雨》","https://bangumi.tv/blog/269587","B","B","A","A-","B+","B+","D","B+","C-","76",
"《吹弹！丰盈！波涛汹涌！异世界魔法学园》","https://bangumi.tv/blog/306448","A+","E+","B","A","C-","B+","C-","S","C+","60",
"《炎孕超工口APP学园》","https://bangumi.tv/blog/296315","A+","E","B","A","C","B+","C-","S","C+","59",
"《逆转裁判2GBA》","https://bangumi.tv/blog/274981","C","A","A-","C-","C+","D-","A","E","D-","84",
"《淑女同萌！》","https://bangumi.tv/blog/305999","S-","B","A","A-","B","A-","D+","C","D+","80",
